m1_surv,m2_surv
0.26071,0.88127
0.26071,0.88127
0.26071,0.88127
0.26071,0.88127
0.26071,0.88127
0.26071,0.88127
0.26071,0.88127
0.26071,0.88127
0.26071,0.88127
0.26071,0.88081
0.26071,0.88081
0.26071,0.88081
0.26071,0.88036
0.26071,0.88036
0.26071,0.88036
0.26071,0.88036
0.26071,0.88036
0.26071,0.88036
0.26071,0.88036
0.26071,0.88036
0.26071,0.88036
0.26071,0.88036
0.26071,0.88036
0.26071,0.88036
0.26071,0.8799
0.26071,0.8799
0.26071,0.8799
0.26071,0.8799
0.26071,0.8799
0.26071,0.87944
0.26071,0.87944
0.26071,0.87944
0.26071,0.87944
0.26071,0.87897
0.26071,0.87897
0.26071,0.87897
0.26071,0.87897
0.25878,0.87897
0.25878,0.8785
0.25878,0.8785
0.25878,0.8785
0.25878,0.8785
0.25878,0.87803
0.25878,0.87803
0.25878,0.87803
0.25878,0.87803
0.25878,0.87803
0.25878,0.87803
0.25878,0.87803
0.25878,0.87755
0.25878,0.87755
0.25878,0.87755
0.25878,0.87707
0.25878,0.87707
0.25878,0.87707
0.25878,0.87707
0.25878,0.87707
0.25729,0.87707
0.25729,0.87707
0.25729,0.87658
0.25729,0.87658
0.25729,0.87658
0.25729,0.87658
0.25729,0.87658
0.25729,0.87609
0.25729,0.87609
0.25729,0.87609
0.25729,0.87609
0.25729,0.8756
0.25729,0.8756
0.25729,0.8756
0.25729,0.8756
0.25729,0.8756
0.25729,0.8756
0.25729,0.8756
0.25729,0.8756
0.25729,0.8756
0.25729,0.8756
0.25729,0.8756
0.25729,0.8756
0.25729,0.8756
0.25729,0.8756
0.25729,0.87509
0.25729,0.87509
0.25729,0.87459
0.25729,0.87459
0.25729,0.87408
0.25729,0.87408
0.25729,0.87408
0.25729,0.87408
0.25729,0.87408
0.25729,0.87408
0.25729,0.87408
0.25729,0.87358
0.25729,0.87358
0.25729,0.87358
0.25729,0.87358
0.25729,0.87358
0.25729,0.87358
0.25729,0.87358
0.25729,0.87358
0.25729,0.87358
0.25729,0.87358
0.25729,0.87358
0.25729,0.87358
0.25729,0.87358
0.25729,0.87358
0.25729,0.87358
0.25729,0.87358
0.25729,0.87307
0.25729,0.87307
0.25729,0.87307
0.25729,0.87307
0.25729,0.87307
0.25729,0.87307
0.25729,0.87256
0.25729,0.87205
0.25729,0.87205
0.25729,0.87154
0.25729,0.87154
0.25729,0.87154
0.25729,0.87154
0.25729,0.87102
0.25729,0.87102
0.25729,0.87102
0.25729,0.87102
0.25729,0.87102
0.25729,0.87102
0.25729,0.87102
0.25729,0.87102
0.25729,0.87102
0.25729,0.87102
0.25729,0.87102
0.25729,0.87102
0.25729,0.87102
0.25729,0.87102
0.25729,0.87102
0.25729,0.87102
0.25729,0.87102
0.25729,0.87102
0.25729,0.87102
0.25177,0.87102
0.25177,0.87102
0.25177,0.87102
0.25177,0.87102
0.25177,0.87102
0.25177,0.87102
0.25177,0.87102
0.25177,0.87102
0.25177,0.87102
0.25177,0.87102
0.25177,0.87102
0.25177,0.87051
0.2489,0.87051
0.2489,0.87051
0.2489,0.87051
0.2489,0.87051
0.2489,0.87051
0.2489,0.87051
0.2489,0.87051
0.2489,0.87051
0.2489,0.87051
0.2489,0.87051
0.2489,0.87051
0.2489,0.87051
0.2489,0.87051
0.2489,0.87051
0.2489,0.87051
0.2489,0.87051
0.2489,0.87051
0.2489,0.87051
0.2489,0.86999
0.2489,0.86999
0.2489,0.86999
0.2489,0.86999
0.2489,0.86999
0.2489,0.86999
0.2489,0.86999
0.2489,0.86999
0.2489,0.86999
0.2489,0.86948
0.2489,0.86948
0.2489,0.86948
0.2489,0.86948
0.2489,0.86948
0.2489,0.86948
0.2489,0.86948
0.2489,0.86948
0.2489,0.86948
0.2489,0.86948
